segment_id,is_main,dist_along_line,dist_from_terminus,longitude,latitude,class
0,0,0.0,55088.51645094941,-140.61237179954412,60.29136105495201,Black
0,0,500.0,54638.771025988695,-140.6165367788536,60.28789077003489,Black
0,0,1000.0,54144.55743655728,-140.62131430095928,60.284126412694086,Black
0,0,1500.0,53663.836262324694,-140.62741160223462,60.280818080299774,Black
0,0,2000.0,53186.09590559293,-140.63362288414066,60.27756348308632,Black
0,0,2500.0,52691.56365226665,-140.638651483081,60.27385358788938,Black
0,0,3000.0,52197.854851562064,-140.64160557886322,60.26965169764158,Black
0,0,3500.0,51740.85190010721,-140.6419930909064,60.265191302977776,Black
1,0,0.0,39870.28358956926,-140.7016501481774,60.16074221689629,Red
1,0,500.0,39628.7434072927,-140.7106886196794,60.16076225611641,Red
1,0,1000.0,39539.18825636673,-140.7192151751149,60.162138077237636,Red
1,0,1500.0,39586.166632440654,-140.72677053488567,60.16457845590231,Red
1,0,2000.0,39701.87109794697,-140.73364888585277,60.16747530009659,Red
1,0,2500.0,39857.95200973177,-140.74009337220514,60.17060953570337,Red
1,0,3000.0,40023.13133049811,-140.74649400768212,60.173767165780845,Red
1,0,3500.0,40184.19106155382,-140.75302519960377,60.17685877045131,Red
1,0,4000.0,40284.44216294863,-140.76026877188167,60.179456911814086,Red
2,0,0.0,37993.528823685214,-140.73275402576817,60.150047080401315,Red
2,0,500.0,38062.20250800941,-140.74004020242222,60.152632312183435,Red
2,0,1000.0,38216.24605620996,-140.74643980551576,60.15578765225927,Red
2,0,1500.0,38413.57545883371,-140.7522988991655,60.15918424774688,Red
2,0,2000.0,38662.96199306948,-140.75728294412204,60.16283696963985,Red
2,0,2500.0,38849.86179381213,-140.76346199745916,60.16609973164106,Red
2,0,3000.0,39032.36367652994,-140.76978269498403,60.16929608840254,Red
2,0,3500.0,39227.16044819716,-140.77600865185545,60.17253765957922,Red
2,0,4000.0,39464.15732504561,-140.7816508757718,60.176015349271076,Red
3,0,0.0,35949.51924977301,-140.8016952804993,60.146095448558555,Red
3,0,500.0,36374.91846748063,-140.80286387913338,60.150463014789615,Red
3,0,1000.0,36644.03273033217,-140.8080471258594,60.15411081200437,Red
3,0,1500.0,36853.09758079378,-140.81428811646992,60.15733955839462,Red
3,0,2000.0,36974.54591243544,-140.8216780309021,60.15989061947836,Red
3,0,2500.0,36976.32921424276,-140.83012750386467,60.161432274795,Red
3,0,3000.0,36859.639180479404,-140.8390971650923,60.161878269347675,Red
3,0,3500.0,36708.95155060985,-140.84813422290333,60.16195447956367,Red
4,0,0.0,52552.91609508368,-140.5395147186169,60.24472100413478,Black
4,0,500.0,52442.613374918554,-140.54799280467023,60.24624192534751,Black
4,0,1000.0,52433.702369176404,-140.5557364135499,60.24855714620712,Black
4,0,1500.0,52287.21678426381,-140.5644403915392,60.24966963952293,Black
4,0,2000.0,52292.75746788973,-140.57212552300226,60.25201988248996,Black
4,0,2500.0,52291.1721501703,-140.57991694207377,60.25427693754301,Black
4,0,3000.0,52083.93281098258,-140.58891952010822,60.25470734204146,Black
4,0,3500.0,51845.94686271828,-140.5979815083036,60.254797502324585,Black
5,0,0.0,45602.352062344,-140.83197148724497,60.242622309387265,Red
5,0,500.0,45242.753477366554,-140.83963573264165,60.240332980717085,Red
5,0,1000.0,45173.55993612104,-140.84857496394002,60.24086962359898,Red
5,0,1500.0,45051.8147277117,-140.85763398204054,60.24088664204384,Red
5,0,2000.0,44864.918335220034,-140.86656388005713,60.24024098332731,Red
5,0,2500.0,44426.52096905238,-140.8717754198791,60.23682041050122,Red
5,0,3000.0,43927.4680979376,-140.87382220685444,60.23247406577108,Red
5,0,3500.0,43456.24038387514,-140.87857262442105,60.228692354658016,Red
6,0,0.0,54018.45014482151,-140.54438186637498,60.26175886706647,Black
6,0,500.0,54105.27907794504,-140.55115452458298,60.26471092995477,Black
6,0,1000.0,53981.51158723763,-140.55972677024903,60.26595303736069,Black
6,0,1500.0,53869.88723478369,-140.568122053324,60.26722562765071,Black
6,0,2000.0,53466.85688916444,-140.5762332540876,60.26537378139643,Black
6,0,2500.0,52994.4551523543,-140.58304076117486,60.26242746719713,Black
6,0,3000.0,52518.76638202546,-140.58971430907977,60.25940486594673,Black
6,0,3500.0,52183.61163090333,-140.59773744500828,60.2581900851429,Black
7,0,0.0,36597.6086574941,-140.99377002847348,60.17580111216235,Red
7,0,500.0,36705.576636135265,-140.98483548927487,60.176341524582284,Red
7,0,1000.0,36661.412466558286,-140.97604357889625,60.17546228201407,Red
7,0,1500.0,36452.51319231062,-140.96838778489962,60.17311038808332,Red
7,0,2000.0,36159.57556370086,-140.96184754185575,60.17002660326447,Red
7,0,2500.0,35883.477402942226,-140.95512824305206,60.167039782157666,Red
8,0,0.0,57874.01286891287,-140.49587500830745,60.28745357809682,Black
8,0,500.0,57547.62745327883,-140.50472282820888,60.28675826370639,Black
8,0,1000.0,57202.38175229458,-140.5135051254063,60.285818944646095,Black
8,0,1500.0,56762.99343331045,-140.52134155708129,60.28358392544003,Black
8,0,2000.0,56407.60521093584,-140.53009494236687,60.282490505144004,Black
8,0,2500.0,56143.18741212461,-140.53915720865777,60.28241131962868,Black
9,0,0.0,41491.74121496749,-140.67426713832214,60.16965685272451,Red
9,0,500.0,41525.50096184227,-140.68162490097018,60.17213136580943,Red
9,0,1000.0,41645.89454901497,-140.6881785751475,60.17521091260466,Red
9,0,1500.0,41785.85255077362,-140.69455108421872,60.17838280887638,Red
9,0,2000.0,41920.450562266575,-140.7010680764144,60.181482093136964,Red
9,0,2500.0,42021.73277756835,-140.70806088248887,60.184311392286496,Red
9,0,3000.0,41955.91876047535,-140.71635069865926,60.185733293463464,Red
10,0,0.0,47127.008432538656,-140.56700055224294,60.195330443220094,Red
10,0,500.0,47257.969521480896,-140.5725294225145,60.19866050372787,Red
10,0,1000.0,47125.34889721307,-140.58095724701082,60.20006426707342,Red
10,0,1500.0,47202.11768592072,-140.58761698084544,60.203082913980346,Red
10,0,2000.0,47275.43253981576,-140.59438943330136,60.20604519968679,Red
10,0,2500.0,47319.84906166924,-140.6015527294139,60.20876842220423,Red
11,0,0.0,45989.140327771165,-140.82589391976487,60.24536632896741,Red
11,0,500.0,46101.79516889346,-140.81688673612845,60.24511632109438,Red
11,0,1000.0,45987.95316053627,-140.80910911457715,60.242885882976786,Red
11,0,1500.0,45756.703731597736,-140.80272048299761,60.239724524539874,Red
11,0,2000.0,45427.55688276257,-140.7981494913955,60.23589672478381,Red
11,0,2500.0,44980.85064986007,-140.79694987833219,60.23149108732204,Red
12,0,0.0,49489.09192037802,-140.72329515637097,60.26106702924981,Black
12,0,500.0,49975.54345868452,-140.71933363085714,60.2649698702494,Black
12,0,1000.0,50430.693356156065,-140.71281977686664,60.26806162904542,Black
12,0,1500.0,50789.98963358222,-140.70458653306514,60.269868355736165,Black
12,0,2000.0,51023.698901789794,-140.69558574678447,60.27027261613724,Black
12,0,2500.0,51237.06565271334,-140.6865264431418,60.27042854978478,Black
13,0,0.0,58016.76379774395,-140.58167734993145,60.313061850372186,Black
13,0,500.0,57690.22222113476,-140.57826959806178,60.308919820682874,Black
13,0,1000.0,57295.73801060605,-140.57665673184835,60.304530058013405,Black
13,0,1500.0,56859.677776543474,-140.57642409529737,60.300063184992595,Black
13,0,2000.0,56396.40813468682,-140.57739752025856,60.295627155745926,Black
14,0,0.0,47898.41829219809,-140.81003690936262,60.26087007900267,Red
14,0,500.0,48375.262214788854,-140.80646345050158,60.264795023049714,Red
14,0,1000.0,48824.62456116662,-140.80032278794866,60.2680831319501,Red
14,0,1500.0,49267.59240126347,-140.79396049307832,60.271268724387234,Red
14,0,2000.0,49723.187203909874,-140.7879635964415,60.27461850050787,Black
15,0,0.0,46911.500343959495,-140.83897564523136,60.255692753157476,Red
15,0,500.0,47377.539341257245,-140.83395848437067,60.25934769609341,Red
15,0,1000.0,47818.308160210014,-140.82774703925952,60.262603418181534,Red
15,0,1500.0,48254.85213588154,-140.82138458475535,60.26578842347139,Red
15,0,2000.0,48702.58186633416,-140.81531152773726,60.26910631918466,Red
16,0,0.0,50084.36692770488,-140.83147622713992,60.28404020194152,Black
16,0,500.0,50544.11095816065,-140.8260545596211,60.28759831996053,Black
16,0,1000.0,50976.696251718466,-140.81966700907208,60.290773283468305,Black
17,0,0.0,58412.81674750782,-140.5154871813266,60.299084623289964,Black
17,0,500.0,58011.498861392676,-140.52342420329182,60.29723632006115,Black
17,0,1000.0,57543.712717603106,-140.5304517360144,60.29442264038982,Black
17,0,1500.0,57062.81026704393,-140.53700605628637,60.29133144006919,Black
18,0,0.0,36619.71441388037,-140.77288149055096,60.14627695038626,Red
18,0,500.0,37072.43295985871,-140.77288247641118,60.150747436969944,Red
18,0,1000.0,37507.55749266713,-140.77362339058777,60.155200633268414,Red
18,0,1500.0,37917.00745009702,-140.77529276221517,60.15959257852525,Red
18,0,2000.0,38278.8395507117,-140.77831736555302,60.16379222686705,Red
18,0,2500.0,38561.58045936032,-140.7831243736206,60.16756848490734,Red
18,0,3000.0,38776.703355314596,-140.7891493845428,60.170896160471266,Red
18,0,3500.0,38955.031396070626,-140.79577384399832,60.17393681360741,Red
18,0,4000.0,39013.72518262612,-140.80363426724406,60.17601194945692,Red
19,0,0.0,50054.74992537509,-140.9266709079968,60.2930484023166,Black
19,0,500.0,50127.01137963503,-140.91759580283147,60.293043084820276,Black
19,0,1000.0,50161.22742263869,-140.9085960241184,60.29265438123889,Black
19,0,1500.0,50432.62360786808,-140.90098863498616,60.294490038094075,Black
19,0,2000.0,50723.530570379844,-140.8934311258286,60.2964810998748,Black
19,0,2500.0,51122.898826369565,-140.88677715407513,60.29951582040676,Black
19,0,3000.0,51432.82127186915,-140.87880022682708,60.30159537955806,Black
19,0,3500.0,51573.245629552475,-140.86980117737326,60.302000732849336,Black
20,0,0.0,44945.259498623804,-140.97628913601457,60.24995917580098,Red
20,0,500.0,44500.68720163536,-140.97294861462655,60.24580334046867,Red
20,0,1000.0,44070.53902983206,-140.96917298641165,60.24174355803153,Red
20,0,1500.0,43721.15465613849,-140.96351062742164,60.23829123148398,Red
21,0,0.0,48500.425927641154,-140.76848047186618,60.2599511390715,Red
21,0,500.0,48974.01531268324,-140.76842900852108,60.26442129077317,Red
21,0,1000.0,49468.571117669155,-140.766367857139,60.26874725307668,Black
21,0,1500.0,49940.943611116825,-140.76095890664823,60.27229716384857,Black
21,0,2000.0,50366.23251831793,-140.75396203619067,60.275122728618285,Black
21,0,2500.0,50767.797192875565,-140.74655395127937,60.27763776468353,Black
21,0,3000.0,51176.01648144208,-140.73925923675327,60.28022053302474,Black
22,0,0.0,27314.827937679125,-141.0301372368251,60.09385661613944,Red
22,0,500.0,27714.68509355408,-141.02435540244073,60.09728786537882,Red
22,0,1000.0,28074.725068634954,-141.0177159092526,60.1003039452127,Red
22,0,1500.0,28349.815002367042,-141.0098700503473,60.102469820431416,Red
22,0,2000.0,28504.563979035695,-141.001169657421,60.10345719038988,Red
22,0,2500.0,28708.391545829592,-140.99266506757166,60.104828045435184,Red
22,0,3000.0,28867.147860138663,-140.98383236035494,60.10570630106137,Red
22,0,3500.0,29122.05755992771,-140.97551402996268,60.10742209095278,Red
22,0,4000.0,29357.690027902074,-140.96702269870525,60.10889172782456,Red
22,0,4500.0,29507.116221315235,-140.95809436481943,60.10947897784066,Red
22,0,5000.0,29711.37776499413,-140.94931395338403,60.11051043968743,Red
22,0,5500.0,29934.496495354615,-140.94059064727074,60.11165623698829,Red
22,0,6000.0,30162.223541589163,-140.93185656742727,60.112781687795334,Red
22,0,6500.0,30379.424677490304,-140.92304209467554,60.11373993832191,Red
22,0,7000.0,30566.17184762138,-140.91410503420565,60.11433906940829,Red
22,0,7500.0,30717.870862818756,-140.90509671223074,60.114537704487354,Red
23,0,0.0,46388.13497263148,-140.56030157730632,60.184806411035915,Red
23,0,500.0,46441.84532458319,-140.5669746843176,60.18780141885647,Red
23,0,1000.0,46279.57416593583,-140.5755829460564,60.189049491162706,Red
23,0,1500.0,46126.90930695247,-140.58416704734967,60.1903411841303,Red
23,0,2000.0,45883.42250918571,-140.5931755776301,60.19074185661015,Red
23,0,2500.0,45623.72312059117,-140.60221376074287,60.190933007541254,Red
23,0,3000.0,45359.11239724734,-140.6112583039293,60.191030372796384,Red
23,0,3500.0,45092.389638642104,-140.62030490078644,60.19106313924462,Red
23,0,4000.0,44846.59552449665,-140.6293408011653,60.19127027458595,Red
23,0,4500.0,44632.996277789876,-140.63833108443177,60.19175536256283,Red
23,0,5000.0,44466.9781537703,-140.64718692166755,60.192647108668744,Red
23,0,5500.0,44398.37592802851,-140.655521522792,60.194343473286,Red
23,0,6000.0,44493.72309863723,-140.66235687959102,60.19724802527297,Red
23,0,6500.0,44517.123017230595,-140.67001980831856,60.19958767941077,Red
23,0,7000.0,44345.21363140612,-140.67890182526807,60.200212404096945,Red
24,0,0.0,46169.06642100956,-140.9718731601446,60.26074167213591,Red
24,0,500.0,46225.45687885248,-140.96280760052522,60.26078416163878,Red
24,0,1000.0,46321.503755132624,-140.95379454076019,60.261138269825196,Red
25,0,0.0,56464.0131796154,-140.76071505954863,60.333543956592024,Black
25,0,500.0,56269.36146457854,-140.76896253705544,60.33293601703151,Black
25,0,1000.0,56045.97688030208,-140.77785196887294,60.33212190343736,Black
25,0,1500.0,55779.760487765285,-140.78654911901737,60.33085095002482,Black
25,0,2000.0,55575.704763673944,-140.795456659293,60.33015291767616,Black
25,0,2500.0,55196.811174490475,-140.80289914071096,60.32761743545135,Black
25,0,3000.0,54759.20067337892,-140.80910155412815,60.32436609694696,Black
25,0,3500.0,54270.491945558424,-140.81299498664748,60.32034582400016,Black
25,0,4000.0,53771.94644554242,-140.81484776183288,60.315978202454,Black
25,0,4500.0,53283.844516988924,-140.81516628300182,60.3115133119519,Black
25,0,5000.0,52814.14383384047,-140.81431671889945,60.30706689543291,Black
25,0,5500.0,52387.99174466489,-140.81174735482662,60.30279370503769,Black
25,0,6000.0,52083.8371786004,-140.80630617157567,60.299253385792596,Black
25,0,6500.0,51786.18540189271,-140.80079755200677,60.295736068258485,Black
26,0,0.0,56128.73571131015,-140.72850540887276,60.32530470680768,Black
26,0,500.0,55640.619617271026,-140.73001894834692,60.32094719589885,Black
26,0,1000.0,55401.65063685879,-140.7256081633472,60.317935351505135,Black
26,0,1500.0,55360.29796324788,-140.7175652899447,60.31614015028315,Black
26,0,2000.0,55087.14667131102,-140.71223374348253,60.312587068800326,Black
26,0,2500.0,54665.9703798863,-140.7103708363836,60.30823096332401,Black
26,0,3000.0,54202.38005557518,-140.71015155151414,60.30376298638805,Black
26,0,3500.0,53767.85148857589,-140.70880853109185,60.299355534785676,Black
26,0,4000.0,53399.04165340993,-140.7056323739083,60.29521667210397,Black
26,0,4500.0,52948.406284038676,-140.704974729012,60.290761934924426,Black
26,0,5000.0,52486.06542343838,-140.70485810378773,60.28629227615719,Black
26,0,5500.0,52069.76495706304,-140.70321543271643,60.28195629464415,Black
27,0,0.0,57506.343083895445,-140.64323824694128,60.3222812513321,Black
27,0,500.0,57022.09801786217,-140.64853797483485,60.31869199280418,Black
27,0,1000.0,56546.036147310726,-140.654425522846,60.3153042998501,Black
27,0,1500.0,56050.54594401882,-140.6575323216884,60.31113991804861,Black
27,0,2000.0,55604.73883647261,-140.65706890309596,60.30670147621118,Black
27,0,2500.0,55293.27064899785,-140.65294238500672,60.30277339732679,Black
27,0,3000.0,54967.195313964876,-140.64927458307122,60.298777043598434,Black
27,0,3500.0,54546.13264530817,-140.64797706851618,60.294355669995454,Black
27,0,4000.0,54105.64932205148,-140.64740511298038,60.28989464997764,Black
27,0,4500.0,53657.434710847694,-140.64717636591453,60.28542584042245,Black
27,0,5000.0,53204.459875432636,-140.64718281830974,60.28095541302551,Black
27,0,5500.0,52750.71943729958,-140.64725741984145,60.276484964624345,Black
27,0,6000.0,52296.43186527605,-140.64739176653453,60.27201486744853,Black
27,0,6500.0,51840.38283939485,-140.64763955306924,60.26754604228014,Black
28,0,0.0,37340.51570863643,-141.03462791312697,60.183639487626,Red
28,0,500.0,37013.83087349124,-141.0281675317365,60.18061407823814,Red
28,0,1000.0,36919.713098672946,-141.0193998090064,60.179581361155385,Red
28,0,1500.0,36903.74158714686,-141.01039614079517,60.17918248546672,Red
28,0,2000.0,36922.90151008394,-141.0013582182045,60.17903609297865,Red
28,0,2500.0,36960.53930904297,-140.9923161918348,60.17899415737255,Red
28,0,3000.0,36978.219423377894,-140.98329283415922,60.17871275722828,Red
28,0,3500.0,36951.48469657206,-140.9743796179738,60.17797655336551,Red
28,0,4000.0,36827.534130439315,-140.96601824186908,60.17633832015126,Red
28,0,4500.0,36547.44390422584,-140.95932399183332,60.173351434144344,Red
29,0,0.0,56055.631854185194,-140.748030215157,60.32778489142128,Black
29,0,500.0,55564.0211644084,-140.74920546519505,60.32335518813662,Black
29,0,1000.0,55066.31767293917,-140.7516322850917,60.319064993943705,Black
29,0,1500.0,54593.88934015284,-140.75689560022317,60.31545796082999,Black
29,0,2000.0,54109.79159538172,-140.76141683341484,60.31162240289828,Black
29,0,2500.0,53618.46590272879,-140.76271722694958,60.30721749500718,Black
29,0,3000.0,53175.144837060805,-140.7612656956223,60.302828324984475,Black
29,0,3500.0,52840.38232357989,-140.75679465903374,60.298963845658385,Black
29,0,4000.0,52601.13918057857,-140.75061620964968,60.29569194964928,Black
30,0,0.0,53881.364810435356,-140.87123290420618,60.32317275203063,Black
30,0,500.0,53914.301581423206,-140.86257675641224,60.3226365406942,Black
30,0,1000.0,54141.56908096604,-140.85410036273538,60.32385484315872,Black
30,0,1500.0,54255.847013417944,-140.84535584168742,60.32397879351314,Black
30,0,2000.0,53863.46331394292,-140.84198666843938,60.320018622328085,Black
30,0,2500.0,53389.23968378655,-140.84107795540598,60.31557110490153,Black
30,0,3000.0,52939.4655789262,-140.8391448235546,60.311227142421075,Black
30,0,3500.0,52580.58236778924,-140.83474035842565,60.30742210122427,Black
30,0,4000.0,52300.70316756689,-140.82862827008577,60.30411794739936,Black
30,0,4500.0,52038.06554367219,-140.82229670295172,60.300914444529795,Black
30,0,5000.0,51750.754230111634,-140.8164333100742,60.297510862400166,Black
31,0,0.0,48858.60613825627,-140.90503807221492,60.280553352113984,Red
31,0,500.0,49069.03114064995,-140.89627702378675,60.28170298451381,Red
31,0,1000.0,49393.392455512636,-140.88846234442335,60.28393966152238,Black
31,0,1500.0,49793.561126515335,-140.8817624730911,60.28694836678268,Black
31,0,2000.0,50170.21773552494,-140.87461605685394,60.28968168110885,Black
31,0,2500.0,50385.71226622601,-140.8659095947652,60.29076114747957,Black
31,0,3000.0,50715.74016410838,-140.85805096977015,60.292944888854926,Black
31,0,3500.0,50908.928066938315,-140.84914164482282,60.29373032925553,Black
31,0,4000.0,51038.12673225014,-140.84007391747647,60.29387029137942,Black
31,0,4500.0,51161.69829517692,-140.8309994051817,60.29391497763865,Black
32,0,0.0,48343.50589027203,-140.76463876330763,60.25780214668869,Red
32,0,500.0,48559.98359988992,-140.75646581285284,60.25841591172294,Red
32,0,1000.0,48882.02509491891,-140.74820189068421,60.25998800031917,Red
32,0,1500.0,49304.64802920484,-140.74100827289018,60.262694986962515,Red
32,0,2000.0,49753.328042451336,-140.73437989302542,60.26574454217704,Black
32,0,2500.0,50207.90954336377,-140.72789520132494,60.26886877659212,Black
32,0,3000.0,50648.45828921249,-140.72100510568438,60.271771438124304,Black
32,0,3500.0,51050.00681099393,-140.7133316473548,60.27413387256594,Black
32,0,4000.0,51302.92905825653,-140.70447084896477,60.27480535260855,Black
33,0,0.0,47475.455715206794,-140.9225910783943,60.269434958661726,Red
33,0,500.0,46985.989195184724,-140.923421380812,60.2650696295122,Red
33,0,1000.0,46492.48728290788,-140.92336661363916,60.260599158457545,Red
33,0,1500.0,46000.11280493828,-140.9232053720255,60.256129257186714,Red
33,0,2000.0,45508.37476964889,-140.92299662327346,60.251659826125874,Red
33,0,2500.0,45014.535647171535,-140.92305400489923,60.247191139255044,Red
33,0,3000.0,44516.60407938562,-140.92375023789666,60.242736009343695,Red
33,0,3500.0,44017.0362452914,-140.92530670826403,60.238335517036894,Red
33,0,4000.0,43523.17183294119,-140.92806540567426,60.23408339854762,Red
33,0,4500.0,43049.82551383826,-140.9322232543227,60.23012596705321,Red
33,0,5000.0,42626.77031448382,-140.9381228659807,60.226749965893696,Red
33,0,5500.0,42228.541711617894,-140.94459771409163,60.223624373307885,Red
33,0,6000.0,41850.858520151116,-140.95141628859022,60.22068746849147,Red
34,0,0.0,58051.9177924983,-140.54261341385174,60.303113406332294,Black
34,0,500.0,57581.79220622289,-140.544188286356,60.29872341262634,Black
34,0,1000.0,57130.1651811364,-140.54486256979888,60.29426553485682,Black
34,0,1500.0,56659.98109164553,-140.5464967144792,60.289880405700806,Black
34,0,2000.0,56165.30047708286,-140.5499631353736,60.285759579415796,Black
34,0,2500.0,55666.78030062868,-140.55489158524804,60.28201469083911,Black
34,0,3000.0,55177.02489646296,-140.56086127928828,60.27865527363947,Black
34,0,3500.0,54695.76499974212,-140.56733308957743,60.27552296336908,Black
